ticket_id,event_id,customer_id,sale_date,price,ticket_type
1,1,2997,2025-01-01,200,General
2,1,7200,2025-01-01,100,General
3,1,3665,2025-01-01,50,VIP
4,1,4442,2025-01-01,75,VIP
5,1,6335,2025-01-01,100,General
6,1,5674,2025-01-01,100,VIP
7,1,8875,2025-01-01,150,General
8,1,3411,2025-01-01,100,VIP
9,1,4970,2025-01-01,75,General
10,1,1288,2025-01-01,75,Early Bird
11,1,4141,2025-01-01,75,VIP
12,1,7798,2025-01-01,200,General
13,1,9875,2025-01-01,150,VIP
14,1,3110,2025-01-01,200,General
15,1,5251,2025-01-01,75,VIP
16,1,6796,2025-01-01,150,VIP
17,1,1361,2025-01-02,50,General
18,1,3412,2025-01-02,200,VIP
19,1,353,2025-01-02,75,Early Bird
20,1,4725,2025-01-02,50,VIP
21,1,8673,2025-01-02,50,General
22,1,4083,2025-01-02,100,General
23,1,68,2025-01-02,150,VIP
24,1,4365,2025-01-02,200,Early Bird
25,1,5328,2025-01-02,50,Early Bird
26,1,558,2025-01-02,200,Early Bird
27,1,8859,2025-01-02,150,Early Bird
28,1,441,2025-01-02,50,Early Bird
29,1,6241,2025-01-02,75,VIP
30,1,4575,2025-01-02,50,VIP
31,1,2347,2025-01-02,100,General
32,1,4754,2025-01-02,75,Early Bird
33,1,7565,2025-01-02,200,Early Bird
34,1,2857,2025-01-02,100,VIP
35,1,1663,2025-01-03,75,General
36,1,6811,2025-01-03,100,Early Bird
37,1,169,2025-01-03,150,VIP
38,1,7013,2025-01-03,50,VIP
39,1,865,2025-01-03,200,Early Bird
40,1,1471,2025-01-03,150,VIP
41,1,5654,2025-01-03,200,VIP
42,1,5007,2025-01-03,100,VIP
43,1,4008,2025-01-03,75,General
44,1,6777,2025-01-03,150,Early Bird
45,1,8896,2025-01-03,100,Early Bird
46,1,1332,2025-01-03,100,Early Bird
47,1,7895,2025-01-03,100,Early Bird
48,1,202,2025-01-03,100,Early Bird
49,1,5815,2025-01-03,200,VIP
50,1,9470,2025-01-03,100,VIP
51,1,1406,2025-01-03,200,VIP
52,1,2023,2025-01-03,75,Early Bird
53,1,9392,2025-01-03,75,VIP
54,1,2425,2025-01-04,200,General
55,1,4728,2025-01-04,50,Early Bird
56,1,3307,2025-01-04,150,VIP
57,1,2805,2025-01-04,50,General
58,1,1981,2025-01-04,50,General
59,1,1435,2025-01-04,50,General
60,1,5751,2025-01-04,100,VIP
61,1,9674,2025-01-04,75,Early Bird
62,1,597,2025-01-04,75,General
63,1,3982,2025-01-04,75,General
64,1,9238,2025-01-04,50,VIP
65,1,4198,2025-01-04,100,General
66,1,1575,2025-01-04,75,General
67,1,3500,2025-01-04,100,VIP
68,1,5291,2025-01-04,150,General
69,1,6686,2025-01-04,200,General
70,1,9657,2025-01-04,150,Early Bird
71,1,5103,2025-01-05,75,Early Bird
72,1,7609,2025-01-05,50,VIP
73,1,8696,2025-01-05,100,VIP
74,1,144,2025-01-05,200,Early Bird
75,1,6441,2025-01-05,200,VIP
